Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
90,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
90,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
95,1,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block
95,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
95,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
100,1,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block
100,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
100,2,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block
100,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
110,1,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block
110,2,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block
115,1,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block
115,2,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block
120,1,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block
120,2,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block
125,1,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block
125,1,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block
125,2,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block
125,2,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block
130,1,00:00:00:00:00:16,00:00:00:00:00:13,6,perm_block
130,1,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block
130,2,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block
130,2,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block
135,1,00:00:00:00:00:16,00:00:00:00:00:13,7,perm_block
145,1,00:00:00:00:00:16,00:00:00:00:00:13,8,perm_block
145,2,00:00:00:00:00:16,00:00:00:00:00:13,6,perm_block
150,1,00:00:00:00:00:16,00:00:00:00:00:13,9,perm_block
150,1,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block
150,2,00:00:00:00:00:16,00:00:00:00:00:13,7,perm_block
155,1,00:00:00:00:00:16,00:00:00:00:00:13,10,perm_block
155,1,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block
155,2,00:00:00:00:00:16,00:00:00:00:00:13,8,perm_block
155,2,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block
160,1,00:00:00:00:00:16,00:00:00:00:00:13,11,perm_block
160,1,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block
160,2,00:00:00:00:00:16,00:00:00:00:00:13,9,perm_block
160,2,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block
170,2,00:00:00:00:00:16,00:00:00:00:00:13,10,perm_block
170,1,00:00:00:00:00:16,00:00:00:00:00:13,12,perm_block
170,1,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block
175,2,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block
175,1,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block
180,1,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block
180,2,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block
185,1,00:00:00:00:00:16,00:00:00:00:00:13,13,perm_block
185,1,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block
185,2,00:00:00:00:00:16,00:00:00:00:00:13,11,perm_block
185,2,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block
190,1,00:00:00:00:00:16,00:00:00:00:00:13,14,perm_block
190,1,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block
190,2,00:00:00:00:00:16,00:00:00:00:00:13,12,perm_block
190,2,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block
200,1,00:00:00:00:00:16,00:00:00:00:00:13,15,perm_block
200,2,00:00:00:00:00:16,00:00:00:00:00:13,13,perm_block
200,2,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block
205,1,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block
205,2,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block
210,2,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block
215,1,00:00:00:00:00:16,00:00:00:00:00:13,16,perm_block
215,2,00:00:00:00:00:16,00:00:00:00:00:13,14,perm_block
215,2,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block
221,1,00:00:00:00:00:16,00:00:00:00:00:13,17,perm_block
221,1,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block
221,2,00:00:00:00:00:16,00:00:00:00:00:13,15,perm_block
221,2,00:00:00:00:00:12,00:00:00:00:00:13,21,perm_block
226,1,00:00:00:00:00:12,00:00:00:00:00:13,21,perm_block
226,2,00:00:00:00:00:12,00:00:00:00:00:13,22,perm_block
231,1,00:00:00:00:00:16,00:00:00:00:00:13,18,perm_block
231,2,00:00:00:00:00:16,00:00:00:00:00:13,16,perm_block
236,1,00:00:00:00:00:12,00:00:00:00:00:13,22,perm_block
236,2,00:00:00:00:00:12,00:00:00:00:00:13,23,perm_block
246,1,00:00:00:00:00:16,00:00:00:00:00:13,19,perm_block
246,1,00:00:00:00:00:12,00:00:00:00:00:13,23,perm_block
246,2,00:00:00:00:00:16,00:00:00:00:00:13,17,perm_block
251,1,00:00:00:00:00:16,00:00:00:00:00:13,20,perm_block
251,1,00:00:00:00:00:12,00:00:00:00:00:13,24,perm_block
251,2,00:00:00:00:00:16,00:00:00:00:00:13,18,perm_block
251,2,00:00:00:00:00:12,00:00:00:00:00:13,24,perm_block
256,1,00:00:00:00:00:12,00:00:00:00:00:13,25,perm_block
256,2,00:00:00:00:00:12,00:00:00:00:00:13,25,perm_block
261,1,00:00:00:00:00:16,00:00:00:00:00:13,21,perm_block
261,1,00:00:00:00:00:12,00:00:00:00:00:13,26,perm_block
261,2,00:00:00:00:00:16,00:00:00:00:00:13,19,perm_block
261,2,00:00:00:00:00:12,00:00:00:00:00:13,26,perm_block
