Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action,sec
90,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,65
90,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,65
95,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,70
95,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,70
95,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,70
100,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,75
100,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,75
105,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,80
105,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,80
110,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,85
110,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,85
135,1,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block,110
135,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,110
135,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,110
135,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,110
140,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,115
140,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,115
140,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,115
145,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,120
150,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,125
150,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,125
155,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,130
155,1,00:00:00:00:00:15,00:00:00:00:00:13,0,Rate Limit at 100 kBps,130
155,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,130
155,2,00:00:00:00:00:15,00:00:00:00:00:13,0,Rate Limit at 100 kBps,130
170,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,145
170,2,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block,145
175,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,150
175,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,150
180,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,155
185,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,160
185,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,160
190,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,165
190,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,165
211,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,186
211,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,186
211,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,186
211,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,186
216,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,191
216,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,191
216,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,191
221,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,196
221,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,196
226,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,201
231,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,206
231,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,206
246,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,221
251,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,226
251,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,226
251,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,226
256,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,231
256,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,231
256,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,231
256,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,231
266,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,241
271,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,246
276,1,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block,251
291,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,266
296,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,271
311,1,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block,286
311,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,286
321,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,296
