Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
211,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
216,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
216,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
221,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
221,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
226,2,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block
231,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
231,2,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block
236,1,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block
236,2,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block
241,2,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block
241,1,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block
246,1,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block
246,2,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block
647,1,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block
647,2,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block
673,1,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block
673,2,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block
678,1,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block
678,1,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block
678,2,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block
703,1,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block
703,2,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block
713,2,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block
713,2,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block
894,1,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block
904,2,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block
909,1,00:00:00:00:00:16,00:00:00:00:00:13,6,perm_block
914,2,00:00:00:00:00:16,00:00:00:00:00:13,6,perm_block
914,2,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block
939,2,00:00:00:00:00:16,00:00:00:00:00:13,7,perm_block
939,1,00:00:00:00:00:16,00:00:00:00:00:13,7,perm_block
944,1,00:00:00:00:00:16,00:00:00:00:00:13,8,perm_block
944,1,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block
969,1,00:00:00:00:00:16,00:00:00:00:00:13,9,perm_block
969,2,00:00:00:00:00:16,00:00:00:00:00:13,8,perm_block
974,1,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block
974,2,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block
999,1,00:00:00:00:00:16,00:00:00:00:00:13,10,perm_block
999,2,00:00:00:00:00:16,00:00:00:00:00:13,9,perm_block
1029,2,00:00:00:00:00:16,00:00:00:00:00:13,10,perm_block
1029,1,00:00:00:00:00:16,00:00:00:00:00:13,11,perm_block
1059,1,00:00:00:00:00:16,00:00:00:00:00:13,12,perm_block
1124,1,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block
1154,1,00:00:00:00:00:16,00:00:00:00:00:13,13,perm_block
1159,2,00:00:00:00:00:16,00:00:00:00:00:13,11,perm_block
1159,2,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block
1184,1,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block
1184,2,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block
1209,1,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block
1214,1,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block
1214,2,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block
1244,1,00:00:00:00:00:16,00:00:00:00:00:13,14,perm_block
1269,2,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block
1274,1,00:00:00:00:00:16,00:00:00:00:00:13,15,perm_block
1274,1,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block
1304,1,00:00:00:00:00:16,00:00:00:00:00:13,16,perm_block
1304,2,00:00:00:00:00:16,00:00:00:00:00:13,12,perm_block
1334,2,00:00:00:00:00:16,00:00:00:00:00:13,13,perm_block
