Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
21,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
26,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
26,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
31,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
31,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
31,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block
31,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
41,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
41,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
56,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
56,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block
66,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
66,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
76,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
81,1,00:00:00:00:00:11,00:00:00:00:00:13,3,temp_block
91,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
91,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
91,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block
96,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
136,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
141,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
141,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
287,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
287,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
312,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
312,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
347,1,00:00:00:00:00:11,00:00:00:00:00:13,4,temp_block
347,2,00:00:00:00:00:11,00:00:00:00:00:13,3,temp_block
387,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
387,1,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
392,2,00:00:00:00:00:11,00:00:00:00:00:13,4,temp_block
392,1,00:00:00:00:00:11,00:00:00:00:00:13,5,perm_block
422,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
427,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
457,2,00:00:00:00:00:11,00:00:00:00:00:13,0,Rate Limit at 100 kBps
