Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action,sec
140,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,80
140,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,80
145,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,85
150,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,90
150,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,90
155,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,95
155,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,95
165,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,105
190,2,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block,130
190,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,130
200,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,140
200,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,140
205,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,145
210,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,150
230,2,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block,170
240,1,00:00:00:00:00:16,00:00:00:00:00:13,3,temp_block,180
240,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,180
240,2,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,180
245,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,185
250,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,190
255,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,195
260,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,200
275,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,215
275,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,215
280,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,220
285,2,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,225
285,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,225
285,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,225
290,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,230
290,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,230
295,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,235
310,1,00:00:00:00:00:16,00:00:00:00:00:13,4,temp_block,250
315,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,255
320,1,00:00:00:00:00:12,00:00:00:00:00:13,0,Rate Limit at 100 kBps,260
325,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,265
345,2,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block,285
345,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,285
366,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,306
371,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,311
391,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,331
401,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,341
406,1,00:00:00:00:00:16,00:00:00:00:00:13,0,Rate Limit at 100 kBps,346
411,1,00:00:00:00:00:16,00:00:00:00:00:13,5,perm_block,351
